german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Bewerbung,application,"die Bewerbung, -en",Wohin soll ich meine Bewerbung schicken?,Where should I send my application?,Hilfst du mir bei meiner Bewerbung?,Can you help me with my application?,,,,,,,,
"Bewohner, Bewohnerin",resident,"der Bewohner, - 
die Bewohnerin, -nen",Ich kenne die anderen Hausbewohner nicht.,I don't know the other residents.,,,,,,,,,,
Beziehung,relationship,"die Beziehung, -en",Wir haben gute Beziehungen zu unseren Nachbarn.,We have good relations with our neighbors.,,,,,,,,,,
Bibliothek,library,"die Bibliothek, -en",Die Stadtbibliothek hat bereits geschlossen.,The city library is already closed.,,,,,,,,,,
Bier,beer,"das Bier, -e","Ein Bier, bitte!","A beer, please!",,,,,,,,,,
Bild,image,"das Bild, -er",Ein Bild von meinen Kindern hängt über meinem Schreibtisch.,A picture of my children hangs above my desk.,,,,,,,,,,
Bildschirm,screen,"der Bildschirm, -e",Ich brauche einen größeren Bildschirm für meinen Computer.,I need a larger screen for my computer.,Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.,We have a TV with a very large screen.,,,,,,,,
Billett,ticket,"das Billett, -e/-s 
→ D, A: Fahrkarte",Ein Billett können Sie am Schalter kaufen.,You can buy a ticket at the ticket counter.,,,,,,,,,,
Biologie,biology,die Biologie (Sg.),Meine Freundin studiert Biologie.,My girlfriend is studying biology.,,,,,,,,,,
Birne,pear,"die Birne, -n",Möchten Sie Obst? Die Birnen sind heute besonders schön.,Would you like some fruit? The pears are particularly beautiful today.,,,,,,,,,,
Bitte,request,"die Bitte, -n",Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?,I have a request. Can I use your cell phone?,,,,,,,,,,
Blatt,"leaf, sheet (of paper)","das Blatt, ¨-er",Die Bäume bekommen schon gelbe Blätter.,The trees are already turning yellow.,Haben Sie ein Blatt Papier für mich?,Do you have a piece of paper for me?,,,,,,,,
Bleistift,pencil,"der Bleistift, -e",Hast du einen Bleistift für mich?,Do you have a pencil for me?,,,,,,,,,,
Blick,view,"der Blick, -e",Von hier hat man einen tollen Blick über die Stadt.,From here you have a great view over the city.,,,,,,,,,,
Blitz,lightning,"der Blitz, -e","Was für ein Gewitter, hast du den Blitz gesehen?","What kind of storm, did you see the lightning?",Hast du das Foto mit Blitz gemacht?,Did you take the photo with a flash?,,,,,,,,
Blume,flower,"die Blume, -n",Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.,We gave my mother flowers for her birthday.,,,,,,,,,,
Bluse,blouse,"die Bluse, -n",Ich hätte gerne eine weiße Bluse.,I would like a white blouse.,,,,,,,,,,
Blut,blood,das Blut (Sg.),Der Verletzte hat viel Blut verloren.,The injured person has lost a lot of blood.,,,,,,,,,,
Boden,"floor, ground, soil","der Boden, ¨-",Die Bücher lagen alle auf dem Boden.,The books were all on the floor.,Auf diesem Boden wächst Gemüse besonders gut.,Vegetables grow particularly well in this soil.,,,,,,,,
Bogen,"sheet, bow, arc","der Bogen, -/¨-",Bitte schreiben Sie Ihren Namen auf den Antwortbogen.,Please write your name on the reply form.,Ein Bogen wird zum Abschießen von Pfeilen verwendet.,A bow is used for shooting arrows.,,,,,,,,
Bohne,bean,"die Bohne, -n",Ich esse gern Bohnen.,I like to eat beans.,,,,,,,,,,
Boot,boat,"das Boot, -e",An diesem See kann man Boote mieten.,Boats can be hired on this lake.,,,,,,,,,,
Botschaft,"embassy, message","die Botschaft, -en",Das Visum habe ich von der Botschaft bekommen.,I got the visa from the embassy.,,,,,,,,,,
Braten,roast,"der Braten, -",Nehmen Sie noch etwas Soße zum Braten?,Do you have some gravy to go with the roast?,,,,,,,,,,
Breite,width,"die Breite, -n","Welche Maße hat der Tisch? – Länge: 1 m, Breite: 80 cm, Höhe: 1,20 m.","What are the dimensions of the table? - Length: 1 m, width: 80 cm, height: 1.20 m.",,,,,,,,,,
Bremse,brake,"die Bremse, -n",Du musst unbedingt die Bremsen kontrollieren lassen.,You absolutely must have the brakes checked.,,,,,,,,,,
Brief,letter,"der Brief, -e",Ich schreibe nicht gern Briefe.,I don't like writing letters.,,,,,,,,,,
Briefkasten,mailbox,"der Briefkasten, ¨-",Ist hier in der Nähe ein Briefkasten?,Is there a mailbox near here?,Hol bitte mal die Zeitung aus dem Briefkasten.,Please take the newspaper out of the mailbox.,,,,,,,,
Briefmarke,stamp,"die Briefmarke, -n",Briefmarken bekommen Sie am Schalter 7.,Stamps are available at counter 7.,,,,,,,,,,
Briefträger,letter carrier,"der Briefträger, - 
→ CH: die Briefträgerin, -nen Pöstler",War die Briefträgerin schon da?,Has the letter carrier arrived yet?,,,,,,,,,,
Briefumschlag,envelope,"der Briefumschlag, ¨-e 
→ A: Kuvert; CH: Couvert",Ich hätte gern 50 Briefumschläge und Briefmarken dazu.,I would like 50 envelopes and stamps.,,,,,,,,,,
Brieftasche,wallet,"die Brieftasche, -n 
→ D, CH: Portemonnaie/Portmonee; A: Geldbörse",Ich habe nur Kleingeld in meiner Brieftasche.,I only have small change in my wallet.,,,,,,,,,,
Brille,glasses,"die Brille, -n",Ich brauche eine neue Brille.,I need new glasses.,,,,,,,,,,
Broschüre,"brochure, leaflet","die Broschüre, -n",In der Broschüre finden Sie die neuesten Informationen.,You will find the latest information in the brochure.,,,,,,,,,,
Brot,bread,"das Brot, -e","Brot kaufe ich immer beim Bäcker, nicht im Supermarkt.","I always buy bread from the bakery, not the supermarket.",Was möchtest du aufs Brot haben?,What would you like on your bread?,Nimm noch ein paar belegte Brote für die Fahrt mit.,Take a few sandwiches with you for the journey.,,,,,,
Brötchen,rolls,"das Brötchen, - (D) 
→ A: Semmel; CH: Brötli",Ich hole schnell ein paar Brötchen zum Frühstück.,I quickly grab a few rolls for breakfast.,,,,,,,,,,
Brötli,rolls,"das Brötli, - (CH) 
→ D: Brötchen; A: Semmel",Ich hole schnell ein paar Brötli zum Frühstück.,I quickly grab a few rolls for breakfast.,,,,,,,,,,
Brücke,bridge,"die Brücke, -n",Fahren Sie über die nächste Brücke und dann rechts.,Drive over the next bridge and then turn right.,,,,,,,,,,
Bruder,brother,"der Bruder, ¨-",Mein jüngster Bruder geht noch zur Schule.,My youngest brother is still at school.,,,,,,,,,,
Brust,chest,"die Brust, ""-e",Ich habe Schmerzen in der Brust.,I have pain in my chest.,,,,,,,,,,
Bub,boy,"der Bub, -en (A, CH) 
→ D: Junge",In der Schulklasse sind 15 Buben und 10 Mädchen.,There are 15 boys and 10 girls in the class.,,,,,,,,,,
Buch,book,"das Buch, ¨-er",Haben Sie ein Buch über die Geschichte von Berlin?,Do you have a book about the history of Berlin?,,,,,,,,,,
Buchhandlung,bookstore,"die Buchhandlung, -en",In der Buchhandlung in der Stadt haben sie das Buch sicher.,They certainly have the book in the bookstore in town.,,,,,,,,,,
Buchstabe,letter (of an alphabet),"der Buchstabe, -n",Gibt es diesen Buchstaben auch in deiner Muttersprache?,Does this letter also exist in your mother tongue?,Ihr Name beginnt mit K. – Buchstabe K ist in Zimmer 3. Bitte warten Sie dort.,"Your name begins with K. - Letter K is in room 3, please wait there.",,,,,,,,
Büchse,"box, can","die Büchse, -n (D, CH) 
→ A: Dose",Ich habe noch eine Büchse Bohnen.,I still have a tin of beans.,,,,,,,,,,
Buffet,buffet,"das Buffet, -s",Das Buffet ist eröffnet!,The buffet is open!,,,,,,,,,,
Bühne,stage,"die Bühne, -n",Er steht gern auf der Bühne.,He loves being on stage.,,,,,,,,,,
Burg,castle,"die Burg, -en",Von der Burg hat man eine schöne Aussicht.,There is a beautiful view from the castle.,,,,,,,,,,
"Bürger, Bürgerin",citizen,"der Bürger, - 
die Bürgerin, -nen",EU-Bürgerinnen und Bürger können überall in Europa arbeiten.,EU citizens can work anywhere in Europe.,,,,,,,,,,
Büro,office,"das Büro, -s",Unser Büro bleibt samstags geschlossen.,Our office is closed on Saturdays.,Ich möchte in einem Büro arbeiten.,I would like to work in an office.,,,,,,,,
Bürste,brush,"die Bürste, -n",Hast du eine Bürste? Meine Schuhe sind so schmutzig.,Do you have a brush? My shoes are so dirty.,Ich brauche eine Bürste für meine Haare.,I need a brush for my hair.,,,,,,,,
Zahnbürste,toothbrush,"die Zahnbürste, -n",Ich brauche eine neue Zahnbürste.,I need a new toothbrush.,,,,,,,,,,
Bus,bus,"der Bus, -se",Ich fahre meistens mit dem Bus zur Arbeit.,I usually take the bus to work.,,,,,,,,,,
Butter,butter,die Butter (Sg.),Ich möchte nur Butter aufs Brot.,I just want butter on my bread.,,,,,,,,,,
Café,café,"das Café, -s",Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.,There's a café nearby. Let's have a coffee.,,,,,,,,,,
Cafeteria,cafeteria,"die Cafeteria, -s",Ich hole mir schnell etwas aus der Cafeteria.,I quickly grab something from the cafeteria.,,,,,,,,,,
Chance,"chance, opportunity","die Chance, -n","Mein Mann hat gute Chancen, die Stelle zu bekommen.",My husband has a good chance of getting the job.,,,,,,,,,,
"Chef, Chefin",boss,"der Chef, -s 
die Chefin, -nen","Das kann ich nicht allein entscheiden, da muss ich erst die Chefin fragen.","I can't decide that on my own, I have to ask the boss first.",,,,,,,,,,
"Coiffeur, Coiffeuse",hairdresser,"der Coiffeur, -e 
die Coiffeuse, -n (CH) 
→ D, A: Friseur",Du siehst toll aus! Wer ist dein Coiffeur?,You look great! Who is your hairdresser?,Meine Tochter will Coiffeuse werden.,My daughter wants to be a hairdresser.,,,,,,,,
Couch,couch,"die Couch, -s",Wir haben uns eine Couch und neue Sessel gekauft.,We bought a couch and new armchairs.,,,,,,,,,,
Creme,cream,"die Creme, -n/-s",Ich hätte gern eine Creme für die Hände.,I would like a cream for my hands.,Für die Creme habe ich Butter und Schokolade genommen.,I used butter and chocolate for the cream.,,,,,,,,
"Cousin, Cousine",cousin,"der Cousin, -s 
die Cousine, -n",Meine Cousine wohnt jetzt in Brasilien.,My cousin now lives in Brazil.,,,,,,,,,,
Couvert,envelope,"das Couvert, -s (CH) 
→ Briefumschlag; A: Kuvert",Ich hätte gern 50 Couverts und Briefmarken dazu.,I would like 50 envelopes and stamps.,,,,,,,,,,
Dach,roof,"das Dach, ¨-er",Wir müssen das Dach reparieren lassen.,We need to have the roof repaired.,Wir wohnen direkt unter dem Dach.,We live directly under the roof.,,,,,,,,
Dame,"lady, checkers","die Dame, -n",Sie ist eine nette alte Dame.,She is a nice old lady.,Meine Damen und Herren!,Ladies and gentlemen!,Sehr geehrte Damen und Herren.,Ladies and Gentlemen.,,,,,,
Dank,thanks,der Dank (Sg.),Vielen Dank für Ihre Mühe.,Thank you very much for your efforts.,Hier ist Ihr Kaffee. – Vielen Dank!,Here is your coffee. - Thank you very much!,Herzlichen Dank!,Thank you very much!,Gott sei Dank hat es nicht geregnet.,Thank goodness it didn't rain.,,,,
Darstellung,representation,"die Darstellung, -en",Ihr Buch enthält eine klare Darstellung dieser Probleme.,Your book contains a clear presentation of these problems.,,,,,,,,,,
Datei,file,"die Datei, -en",Wo hast du die Datei gespeichert?,Where did you save the file?,,,,,,,,,,
Datum,date,"das Datum, die Daten",Welches Datum haben wir heute?,What is today's date?,Bitte Datum und Unterschrift nicht vergessen.,Please do not forget date and signature.,Ich brauche noch ein paar Daten von Ihnen.,I need a few more details from you.,,,,,,
Daten (Plural),data,die Daten (Plural),Wir haben alle Ihre Daten im Computer.,We have all your data on the computer.,,,,,,,,,,
Dauer,duration,die Dauer (Sg.),Sie können das Buch für die Dauer einer Woche ausleihen.,You can borrow the book for one week.,Auf Dauer ist die Arbeit nicht interessant.,The work is not interesting in the long term.,,,,,,,,
Decke,"ceiling, blanket","die Decke, -n",Im Wohnzimmer haben wir keine Lampe an der Decke.,We don't have a lamp on the ceiling in the living room.,Kann ich noch eine Decke bekommen? Mir ist kalt.,Can I get another blanket? I'm cold.,,,,,,,,
Gedanke,thought,"der Gedanke, -n",Ich muss zuerst meine Gedanken sammeln.,I have to gather my thoughts first.,Dein Hinweis bringt mich auf einen Gedanken.,Your comment gives me an idea.,Der Gedanke an das Unglück macht uns traurig.,The thought of misfortune makes us sad.,"Lass uns einen Ausflug machen, damit du auf andere Gedanken kommst.",Let's go on a trip to take your mind off things.,Sie ist ganz in Gedanken versunken.,She is completely lost in thought.,,
Denkmal,monument,"das Denkmal, ¨-er",In dieser Stadt gibt es viele berühmte Denkmäler.,There are many famous monuments in this city.,,,,,,,,,,
Dessert,dessert,"das Dessert, -s 
→ D, A: Nachspeise",Nach dem Essen gab es noch ein leckeres Dessert.,"After the meal, there was a delicious dessert.",,,,,,,,,,
Detail,detail,"das Detail, -s",Dieses Detail ist unwichtig.,This detail is unimportant.,Ich habe alles bis ins kleinste Detail vorbereitet.,I prepared everything down to the smallest detail.,,,,,,,,
Diät,diet,"die Diät, -en",Ich möchte abnehmen. Deshalb mache ich eine Diät.,I want to lose weight. That's why I'm on a diet.,,,,,,,,,,
Dialekt,dialect,"der Dialekt, -e","Ich verstehe dich besser, wenn du nicht Dialekt sprichst.",I understand you better when you don't speak dialect.,,,,,,,,,,
Dialog,dialog,"der Dialog, -e",Sie hören jetzt einen Dialog.,You will now hear a dialog.,,,,,,,,,,
Dieb,thief,"der Dieb, -e",Ein Dieb hat mir auf dem Markt die Tasche gestohlen.,A thief stole my bag at the market.,,,,,,,,,,
Dienst,service,der Dienst,Als Krankenschwester habe ich oft Frühdienst.,"As a nurse, I'm often on early duty.",Morgen habe ich Dienst. Deshalb kann ich nicht kommen.,I'm on duty tomorrow. That's why I can't come.,,,,,,,,
Ding,thing,"das Ding, -e",Gib mir bitte mal das Ding da drüben.,"Give me that thing over there, please.",,,,,,,,,,
Diplom,diploma,"das Diplom, -e",Wo kann ich mein Diplom abholen?,Where can I collect my diploma?,,,,,,,,,,
"Direktor, Direktorin",director,"der Direktor, -en 
die Direktorin, -nen",Ich möchte gern mit dem Direktor sprechen.,I would like to speak to the director.,,,,,,,,,,
Diskothek,discotheque,"die Diskothek, -en/Disko, -s",Wir gehen heute Abend in die Disko(thek).,We're going to the disco(thek) tonight.,,,,,,,,,,
Diskussion,discussion,"die Diskussion, -en",Im Fernsehen gab es eine Diskussion zum Thema „Kinderbetreuung“.,There was a discussion on television about childcare.,,,,,,,,,,
Distanz,distance,"die Distanz, -en",Diese Firma transportiert Waren auch über große Distanzen.,This company also transports goods over long distances.,,,,,,,,,,
"Doktor, Doktorin",doctor,"der Doktor, -en 
die Doktorin, -nen",Ist Frau Dr. Müller da?,Is Dr. Müller there?,Meine Tochter ist krank. Wir gehen zum Doktor.,My daughter is ill. We're going to the doctor.,,,,,,,,
Dokument,document,"das Dokument, -e",Hast du alle Dokumente für die Anmeldung dabei?,Do you have all the documents you need for registration?,Dieser Stein ist ein wichtiges Dokument für die alte römische Kultur.,This stone is an important document of ancient Roman culture.,,,,,,,,
Donner,thunder,"der Donner, -",Der Donner kam erst lange nach dem Blitz.,The thunder came long after the lightning.,,,,,,,,,,
Dorf,village,"das Dorf, ¨-er",Unser Dorf liegt direkt an der Autobahn.,Our village is located directly on the highway.,,,,,,,,,,
Dose,"can, tin","die Dose, -n 
→ D, CH: Büchse",Ich habe noch eine Dose Bohnen.,I still have a tin of beans.,,,,,,,,,,
Dreck,dirt,der Dreck (Sg.),Iss den Apfel nicht! Der lag im Dreck.,Don't eat the apple! It was lying in the dirt.,Ich konnte vor lauter Dreck auf dem Fenster nichts sehen.,I couldn't see anything because of all the dirt on the window.,Kümmere dich um deinen eigenen Dreck!,Mind your own business!,,,,,,
Droge,drug,"die Droge, -n",Nimmst du etwa Drogen?,Are you taking drugs?,,,,,,,,,,
Drogerie,drugstore,"die Drogerie, -n",Waschmittel bekommst du in der Drogerie.,You can buy detergent at the drugstore.,,,,,,,,,,
Drucker,printer,"der Drucker, -",Ich brauche einen neuen Drucker für meinen Computer.,I need a new printer for my computer.,,,,,,,,,,
Druck,"pressure, push","der Druck, ""-e",Mit einem Knopfdruck schaltet man das Gerät ein.,The appliance is switched on at the touch of a button.,Wie hoch muss der Druck in den vorderen Reifen sein?,How high must the pressure in the front tires be?,,,,,,,,
Durchsage,announcement,"die Durchsage, -n","Achtung, Achtung, eine wichtige Durchsage!","Attention, attention, an important announcement!",Ich habe die Durchsage nicht verstanden.,I didn't understand the announcement.,,,,,,,,
Durchschnitt,average,"der Durchschnitt, -e",Der Durchschnitt der Ausgaben liegt bei 150 Euro im Monat.,The average expenditure is 150 euros per month.,Im Durchschnitt brauchen wir täglich 20 Minuten zur Arbeit.,"On average, we need 20 minutes a day to get to work.",Die Studentin gehört zum Durchschnitt.,The student is average.,,,,,,
Durst,thirst,der Durst (Sg.),Ich hole Ihnen etwas zu trinken. Sie haben sicher Durst.,I'll get you something to drink. You must be thirsty.,,,,,,,,,,
